epoch,train_loss,val_loss,timestamp,epoch_time_s,system_lr,system_grad_norm,system_epoch_time_s,system_throughput,system_gpu_memory_mb,formation_energy_mae,formation_energy_rmse,formation_energy_r2,formation_energy_pearson,formation_energy_spearman,formation_energy_bias,energy_above_hull_mae,energy_above_hull_rmse,energy_above_hull_r2,energy_above_hull_pearson,energy_above_hull_spearman,energy_above_hull_bias,band_gap_mae,band_gap_rmse,band_gap_r2,band_gap_pearson,band_gap_spearman,band_gap_bias,gradnorm_weights_band_gap,gradnorm_weights_energy_above_hull,gradnorm_weights_formation_energy
0,3.0307,4.0108,2026-07-08T18:39:11.198776,432.63,0.0005,0.0,432.6,38.5,1475.2,0.6631062626838684,0.8609995245933533,0.4162808656692505,0.657052218914032,0.53450402667164,-0.0804988443851471,0.13751323521137238,0.3794477581977844,0.3146424889564514,0.603773832321167,0.12830974578571422,-0.05030912533402443,1.1599918603897095,1.6219582557678223,0.1258290410041809,0.39691755175590515,0.4239862474448302,-0.25215986371040344,0.4314,1.7994,0.7333
1,2.6701,4.021,2026-07-08T18:46:14.307925,422.24,0.00048778860081564085,0.0,422.2,39.4,1478.0,0.7310472726821899,0.8954610228538513,0.3686189651489258,0.6717360615730286,0.5453787161492796,0.2277505248785019,0.15005159378051758,0.4099876880645752,0.19988059997558594,0.5944254994392395,0.19242297569694833,-0.06639377772808075,1.1605137586593628,1.6061042547225952,0.1428348422050476,0.40678367018699646,0.4233308985182932,-0.2031785547733307,0.2391,2.5019,0.3866
2,2.6273,3.8417,2026-07-08T18:53:16.209640,421.69,0.0004523497400965494,0.0,421.7,39.5,1493.9,0.6665837168693542,0.8479045629501343,0.43390142917633057,0.6766427755355835,0.5510756153161859,0.12319120764732361,0.1291973888874054,0.3709670901298523,0.34493565559387207,0.6090186238288879,0.2082054386607809,-0.056676968932151794,1.1618307828903198,1.5878229141235352,0.16223710775375366,0.41715356707572937,0.43299140891011056,-0.13917239010334015,0.1181,2.1514,0.2052
3,2.5707,3.7863,2026-07-08T19:00:24.109663,427.33,0.00039715242044697206,0.0,427.3,38.9,1493.9,0.6449896693229675,0.8313713669776917,0.45576274394989014,0.6870148777961731,0.5558195129172679,0.06382583826780319,0.13270139694213867,0.37901777029037476,0.31619495153427124,0.610691249370575,0.21722212203815544,-0.06211932376027107,1.2007733583450317,1.5799840688705444,0.1704884171485901,0.42208677530288696,0.4387744329762282,-0.048798780888319016,0.16,3.5954,0.2316
4,2.5612,3.7534,2026-07-08T19:07:40.717326,436.14,0.0003275997400965494,0.0,436.1,38.2,1493.9,0.6507889032363892,0.8324253559112549,0.45438188314437866,0.6903178691864014,0.5657837790856378,0.11698762327432632,0.12542763352394104,0.3668106198310852,0.3595327138900757,0.6123058199882507,0.1966241807344899,-0.05634303390979767,1.1799631118774414,1.577622413635254,0.17296648025512695,0.43105074763298035,0.4399975356082938,-0.09263317286968231,0.0748,2.602,0.1172
5,2.5336,3.7824,2026-07-08T19:14:36.869026,415.65,0.0002505,0.0,415.6,40.0,1493.9,0.646537721157074,0.8307675123214722,0.4565531015396118,0.6909400224685669,0.5608776786024431,0.11043384671211243,0.14244888722896576,0.3821525275707245,0.30483704805374146,0.6128703951835632,0.23365540689397538,-0.04826550558209419,1.163819670677185,1.578906774520874,0.17161929607391357,0.4336637854576111,0.43709794742010666,-0.129697784781456,0.0793,2.215,0.1339
6,2.5072,3.7524,2026-07-08T19:21:31.527653,414.39,0.00017340025990345064,0.0,414.4,40.2,1507.7,0.63495272397995,0.8228207230567932,0.46690016984939575,0.6919475793838501,0.5645320737563936,0.0661495104432106,0.1315164417028427,0.37007248401641846,0.3480913043022156,0.6138753294944763,0.21267809489783848,-0.05505451187491417,1.150064468383789,1.580852746963501,0.16957604885101318,0.4386407732963562,0.4430835587314074,-0.185581237077713,0.1076,2.2107,0.1988
7,2.4811,3.7216,2026-07-08T19:28:34.841548,422.94,0.00010384757955302797,0.0,422.9,39.3,1512.2,0.6387798190116882,0.8256262540817261,0.4632585644721985,0.6921961903572083,0.5633156117739612,0.09493426233530045,0.1366131454706192,0.36964574456214905,0.3495939373970032,0.6136392951011658,0.22019796021874027,-0.044522475451231,1.1517335176467896,1.5687997341156006,0.18219071626663208,0.4441492557525635,0.4479502498117994,-0.12582650780677795,0.1711,2.3464,0.242
8,2.4632,3.705,2026-07-08T19:35:34.264236,419.14,4.865025990345063e-05,0.0,419.1,39.7,1512.2,0.6261695027351379,0.8173626065254211,0.4739491939544678,0.6943562030792236,0.5644336786257002,0.052573658525943756,0.13505643606185913,0.36800453066825867,0.35535669326782227,0.6134051084518433,0.22166640908772503,-0.044775381684303284,1.1493114233016968,1.5712836980819702,0.17959898710250854,0.44615045189857483,0.45036458532530843,-0.1453508585691452,0.0457,2.4609,0.0611
9,2.4554,3.7255,2026-07-08T19:42:23.775596,409.11,1.3211399184359193e-05,0.0,409.1,40.7,1512.2,0.6254261136054993,0.8147006034851074,0.47737008333206177,0.6994655132293701,0.5697297219935031,0.08165153115987778,0.1329767405986786,0.3680271506309509,0.3552773594856262,0.614144504070282,0.21914579184826374,-0.048595130443573,1.147853970527649,1.5773447751998901,0.17325741052627563,0.4454815685749054,0.4498211222094353,-0.1769261360168457,0.0585,4.5777,0.0813
10,2.4935,3.8358,2026-07-08T19:49:21.241878,417.17,0.0005,0.0,417.2,39.9,1512.2,0.6378613710403442,0.82473224401474,0.4644203186035156,0.6928706169128418,0.5638856475644446,0.11865969002246857,0.1325904130935669,0.36342522501945496,0.37130022048950195,0.6148792505264282,0.23582806858332056,-0.037384290248155594,1.1569997072219849,1.601090431213379,0.14817821979522705,0.4354865849018097,0.4362843679773227,-0.2589367926120758,0.0643,5.6155,0.0864
11,2.4873,3.722,2026-07-08T19:56:26.644550,425.18,0.0004969282409784868,0.0,425.2,39.1,1512.2,0.6457545757293701,0.8358856439590454,0.4498363733291626,0.6934819221496582,0.5655471537046735,0.19092273712158203,0.13638529181480408,0.3691209554672241,0.3514394164085388,0.614557683467865,0.21863759518229423,-0.04830123484134674,1.1575669050216675,1.5667076110839844,0.1843705177307129,0.4536758065223694,0.4690132972566364,-0.12266863137483597,0.0457,3.5613,0.0611
12,2.4561,3.704,2026-07-08T20:03:25.612627,418.82,0.00048778860081564085,0.0,418.8,39.7,1512.2,0.625777542591095,0.8183584809303284,0.47266656160354614,0.6926286220550537,0.5592370441566038,0.06408363580703735,0.13035239279270172,0.36835092306137085,0.35414254665374756,0.6150662899017334,0.23093859432630748,-0.05646928772330284,1.1443041563034058,1.5681651830673218,0.18285226821899414,0.4547191262245178,0.4568099162362275,-0.15771737694740295,0.0387,3.1295,0.0537
